(178, 398)
(178, 462)
(178, 495)
(179, 1)
(179, 61)
(179, 339)
(180, 197)
(180, 292)
(180, 308)
(181, 32)
(181, 66)
(181, 300)
(181, 322)
(181, 473)
(182, 194)
(182, 277)
(182, 342)
(183, 378)
(184, 150)
(184, 152)
(185, 208)
(185, 299)
(185, 373)
(185, 481)
(186, 223)
(186, 469)
(187, 53)
(187, 237)
(188, 122)
(188, 326)
(189, 58)
(189, 79)
(189, 347)
(189, 423)
(190, 364)
(190, 436)
(192, 17)
(192, 87)
(192, 199)
(192, 304)
(194, 182)
(194, 277)
(194, 342)
(196, 119)
(196, 253)
(196, 430)
(196, 480)
(197, 180)
(197, 292)
(197, 308)
(198, 239)
(198, 484)
(199, 17)
(199, 87)
(199, 192)
(199, 304)
(200, 170)
(202, 159)
(202, 283)
(202, 371)
(203, 21)
(203, 30)
(204, 46)
(204, 246)
(205, 147)
(205, 281)
(205, 341)
(206, 164)
(206, 288)
(208, 185)
(208, 299)
(208, 373)
(208, 481)
(209, 49)
(209, 64)
(209, 69)
(209, 160)
(209, 165)
(209, 388)
(210, 38)
(210, 67)
(210, 135)
(210, 161)
(210, 356)
(210, 419)
(210, 457)
(210, 487)
(212, 151)
(212, 168)
(212, 357)
(212, 494)
(213, 178)
(213, 398)
(213, 462)
(213, 495)
(214, 478)
(215, 20)
(215, 171)
(215, 282)
(215, 328)
(215, 370)
(215, 440)
(216, 130)
(217, 121)
(217, 261)
(217, 389)
(220, 318)
(223, 186)
(223, 469)
(225, 404)
(225, 461)
(226, 11)
(229, 55)
(229, 108)
(229, 416)
(229, 468)
(229, 497)
(231, 463)
(232, 391)
(233, 41)
(233, 103)
(233, 466)
(233, 488)
(235, 24)
(235, 499)
(236, 63)
(237, 53)
(237, 187)
(239, 198)
(239, 484)
(240, 91)
(240, 332)
(240, 355)
(242, 123)
(242, 134)
(242, 331)
(242, 358)
(246, 46)
(246, 204)
(247, 45)
(247, 269)
(247, 303)
(247, 350)
(248, 266)
(248, 470)
(249, 400)
